ENSG00000272768.1	AC004854.2	Gene Expression
ENSG00000232667.10	AC004862.1	Gene Expression
ENSG00000239636.1	AC004865.2	Gene Expression
ENSG00000223829.5	AC004870.2	Gene Expression
ENSG00000229192.6	AC004870.3	Gene Expression
ENSG00000232072.1	AC004870.4	Gene Expression
ENSG00000273419.1	AC004877.1	Gene Expression
ENSG00000242154.1	AC004884.2	Gene Expression
ENSG00000244198.5	AC004889.1	Gene Expression
ENSG00000242687.2	AC004893.2	Gene Expression
ENSG00000231704.5	AC004895.1	Gene Expression
ENSG00000237286.1	AC004906.1	Gene Expression
ENSG00000272240.1	AC004908.1	Gene Expression
ENSG00000272812.1	AC004908.2	Gene Expression
ENSG00000273402.1	AC004908.3	Gene Expression
ENSG00000243797.6	AC004917.1	Gene Expression
ENSG00000244701.1	AC004918.1	Gene Expression
ENSG00000270157.1	AC004918.3	Gene Expression
ENSG00000273341.1	AC004921.1	Gene Expression
ENSG00000284292.1	AC004922.1	Gene Expression
ENSG00000255306.1	AC004923.4	Gene Expression
ENSG00000259209.3	AC004943.1	Gene Expression
ENSG00000259768.5	AC004943.2	Gene Expression
ENSG00000233969.1	AC004946.1	Gene Expression
ENSG00000233760.1	AC004947.1	Gene Expression
ENSG00000228434.1	AC004951.1	Gene Expression
ENSG00000273432.1	AC004951.4	Gene Expression
ENSG00000238358.2	AC004969.1	Gene Expression
ENSG00000226661.1	AC004973.1	Gene Expression
ENSG00000272732.1	AC004982.1	Gene Expression
ENSG00000272894.5	AC004982.2	Gene Expression
ENSG00000203446.2	AC004988.1	Gene Expression
ENSG00000226522.1	AC004994.1	Gene Expression
ENSG00000278920.1	AC005005.4	Gene Expression
ENSG00000223831.1	AC005006.1	Gene Expression
ENSG00000237896.6	AC005008.2	Gene Expression
ENSG00000233073.1	AC005009.2	Gene Expression
ENSG00000228421.2	AC005013.1	Gene Expression
ENSG00000272361.2	AC005014.2	Gene Expression
ENSG00000272647.3	AC005020.2	Gene Expression
ENSG00000273138.1	AC005021.1	Gene Expression
ENSG00000270696.1	AC005034.3	Gene Expression
ENSG00000270996.1	AC005034.4	Gene Expression
ENSG00000271452.1	AC005034.5	Gene Expression
ENSG00000281162.2	AC005035.1	Gene Expression
ENSG00000183308.6	AC005037.1	Gene Expression
ENSG00000159239.13	AC005041.1	Gene Expression
ENSG00000228586.1	AC005042.2	Gene Expression
ENSG00000273055.1	AC005046.1	Gene Expression
ENSG00000267052.1	AC005050.1	Gene Expression
ENSG00000232415.1	AC005056.1	Gene Expression
ENSG00000243004.5	AC005062.1	Gene Expression
ENSG00000234715.1	AC005064.1	Gene Expression
ENSG00000272918.1	AC005070.3	Gene Expression
ENSG00000272219.1	AC005072.1	Gene Expression
ENSG00000224046.1	AC005076.1	Gene Expression
ENSG00000226816.3	AC005082.1	Gene Expression
ENSG00000274080.1	AC005089.1	Gene Expression
ENSG00000229893.2	AC005091.1	Gene Expression
ENSG00000259294.1	AC005096.1	Gene Expression
ENSG00000223374.1	AC005104.1	Gene Expression
ENSG00000283517.1	AC005144.1	Gene Expression
ENSG00000196295.11	AC005154.1	Gene Expression
ENSG00000263683.1	AC005154.4	Gene Expression
ENSG00000264520.1	AC005154.5	Gene Expression
ENSG00000281039.1	AC005154.6	Gene Expression
ENSG00000229452.1	AC005162.1	Gene Expression
ENSG00000233517.1	AC005162.2	Gene Expression
ENSG00000272568.5	AC005162.3	Gene Expression
ENSG00000223561.6	AC005165.1	Gene Expression
ENSG00000267405.1	AC005180.1	Gene Expression
ENSG00000256276.1	AC005186.1	Gene Expression
ENSG00000230258.6	AC005208.1	Gene Expression
ENSG00000236352.1	AC005220.1	Gene Expression
ENSG00000231595.1	AC005224.1	Gene Expression
ENSG00000266378.1	AC005224.3	Gene Expression
ENSG00000266709.1	AC005224.4	Gene Expression
ENSG00000258603.3	AC005225.2	Gene Expression
ENSG00000258695.2	AC005225.3	Gene Expression
ENSG00000273314.1	AC005229.4	Gene Expression
ENSG00000235035.1	AC005234.1	Gene Expression
ENSG00000225521.1	AC005237.1	Gene Expression
ENSG00000265400.1	AC005244.2	Gene Expression
ENSG00000268030.1	AC005253.1	Gene Expression
ENSG00000268983.1	AC005253.2	Gene Expression
ENSG00000273734.1	AC005258.1	Gene Expression
ENSG00000267871.5	AC005261.1	Gene Expression
ENSG00000268205.1	AC005261.2	Gene Expression
ENSG00000268678.1	AC005261.3	Gene Expression
ENSG00000268713.1	AC005261.4	Gene Expression
ENSG00000267551.3	AC005264.1	Gene Expression
ENSG00000263707.1	AC005277.1	Gene Expression
ENSG00000277621.1	AC005277.2	Gene Expression
ENSG00000251393.3	AC005280.1	Gene Expression
ENSG00000266469.1	AC005288.1	Gene Expression
ENSG00000264067.1	AC005291.1	Gene Expression
ENSG00000273388.1	AC005291.2	Gene Expression
ENSG00000273244.1	AC005301.1	Gene Expression
ENSG00000233852.1	AC005304.1	Gene Expression
ENSG00000265494.1	AC005304.2	Gene Expression
ENSG00000266744.1	AC005304.3	Gene Expression
ENSG00000267283.1	AC005306.1	Gene Expression
ENSG00000251537.4	AC005324.3	Gene Expression
ENSG00000255104.8	AC005324.4	Gene Expression
ENSG00000248015.6	AC005329.1	Gene Expression
ENSG00000267755.1	AC005329.2	Gene Expression
ENSG00000265100.1	AC005332.1	Gene Expression
ENSG00000278740.1	AC005332.10	Gene Expression
ENSG00000267731.1	AC005332.5	Gene Expression
ENSG00000274561.1	AC005332.6	Gene Expression
ENSG00000274712.1	AC005332.7	Gene Expression
ENSG00000277476.1	AC005332.8	Gene Expression
ENSG00000278730.1	AC005332.9	Gene Expression
ENSG00000268565.1	AC005339.1	Gene Expression
ENSG00000203593.3	AC005342.1	Gene Expression
ENSG00000256706.1	AC005342.2	Gene Expression
ENSG00000250994.1	AC005355.1	Gene Expression
ENSG00000227274.1	AC005358.1	Gene Expression
ENSG00000265489.1	AC005358.2	Gene Expression
ENSG00000277602.1	AC005363.2	Gene Expression
ENSG00000268938.2	AC005387.1	Gene Expression
ENSG00000269191.1	AC005387.2	Gene Expression
ENSG00000272396.1	AC005392.3	Gene Expression
ENSG00000276445.1	AC005393.1	Gene Expression
ENSG00000283403.1	AC005394.2	Gene Expression
ENSG00000266368.1	AC005410.2	Gene Expression
ENSG00000259146.3	AC005476.2	Gene Expression
ENSG00000270000.1	AC005479.3	Gene Expression
ENSG00000258891.1	AC005480.1	Gene Expression
ENSG00000222012.1	AC005481.1	Gene Expression
ENSG00000243018.1	AC005486.1	Gene Expression
ENSG00000267224.1	AC005498.1	Gene Expression
ENSG00000267421.6	AC005498.2	Gene Expression
ENSG00000269696.1	AC005498.3	Gene Expression
ENSG00000258559.2	AC005519.2	Gene Expression
ENSG00000259065.1	AC005520.2	Gene Expression
ENSG00000270140.1	AC005520.3	Gene Expression
ENSG00000250614.1	AC005522.2	Gene Expression
ENSG00000268536.1	AC005523.1	Gene Expression
ENSG00000269604.1	AC005523.2	Gene Expression
ENSG00000230825.1	AC005532.1	Gene Expression
ENSG00000224903.1	AC005534.1	Gene Expression
ENSG00000232006.8	AC005537.1	Gene Expression
ENSG00000235852.1	AC005540.1	Gene Expression
ENSG00000237070.1	AC005550.3	Gene Expression
ENSG00000214719.11	AC005562.1	Gene Expression
ENSG00000267320.5	AC005580.1	Gene Expression
ENSG00000240449.1	AC005586.1	Gene Expression
ENSG00000278901.1	AC005609.1	Gene Expression
ENSG00000278946.1	AC005609.4	Gene Expression
ENSG00000279726.1	AC005609.5	Gene Expression
ENSG00000269749.1	AC005614.2	Gene Expression
ENSG00000272070.1	AC005618.1	Gene Expression
ENSG00000261596.2	AC005632.2	Gene Expression
ENSG00000261886.1	AC005670.1	Gene Expression
ENSG00000262633.2	AC005670.2	Gene Expression
ENSG00000250413.1	AC005674.1	Gene Expression
ENSG00000261490.1	AC005674.2	Gene Expression
ENSG00000262966.2	AC005695.1	Gene Expression
ENSG00000263708.2	AC005695.2	Gene Expression
ENSG00000273816.1	AC005695.3	Gene Expression
ENSG00000262050.1	AC005696.1	Gene Expression
ENSG00000272770.1	AC005696.2	Gene Expression
ENSG00000266202.1	AC005697.1	Gene Expression
ENSG00000266527.1	AC005697.2	Gene Expression
ENSG00000249631.5	AC005699.1	Gene Expression
ENSG00000267302.5	AC005702.1	Gene Expression
ENSG00000267318.1	AC005702.2	Gene Expression
ENSG00000265445.1	AC005703.3	Gene Expression
ENSG00000266667.1	AC005703.4	Gene Expression
ENSG00000258472.8	AC005726.2	Gene Expression
ENSG00000264044.1	AC005726.3	Gene Expression
ENSG00000264608.1	AC005726.4	Gene Expression
ENSG00000265287.2	AC005726.6	Gene Expression
